prior_type,model_type,condition_cb,cmpr,mean,median,sd,mad,q5,q95
orig,intrvl,ibd,pu_L04AA,-0.0196355007672,-0.01890075,0.08748546354486415,0.08761194897,-0.1666388,0.12183649999999996
new,intrvl,ibd,pu_L04AA,0.091073911519,0.08845375,0.39081560249429037,0.3880720325999999,-0.55786575,0.7306482999999997
orig,intrvl,ibd,pu_L04AA,0.07972493154045,0.078587099999999993,0.36231098374123805,0.3708575639999999,-0.5092655,0.6752912
new,intrvl,ibd,pu_L04AA,-0.0059836144214,-0.004487355,0.06672087959527663,0.06648675963299999,-0.11738435,0.10281524999999989
orig,intrvl,ibd,pu_L04AA,-0.004061305128,-0.0013419299999999999,0.06470925206536633,0.064860592062,-0.1104462,0.09739641499999985
new,intrvl,ibd,pu_L04AA,0.0352089776248225,0.03520585,0.08640566137145865,0.08733507341999998,-0.1066266,0.17835094999999992
orig,intrvl,ibd,pu_L04AA,0.036531939694475,0.036535849999999995,0.08691353768892957,0.08692921166999998,-0.10493419999999999,0.17990465
new,intrvl,ibd,pu_L04AB,-0.0514109130734,-0.05019195,0.09142301606514161,0.079112010432,-0.19391985,0.09161077999999989
orig,intrvl,ibd,pu_L04AB,-0.049704728076775,-0.0471512,0.0883295802683991,0.07656514084799998,-0.19394499999999998,0.08883769499999995
new,intrvl,ibd,pu_L04AB,-0.072057321258325,-0.069067,0.10224197569502091,0.09024039120599998,-0.237181,0.07804831999999999
orig,intrvl,ibd,pu_L04AB,-0.074181586990865,-0.07079355000000001,0.09781274185625821,0.08477195454000001,-0.2356457,0.07113552
new,intrvl,ibd,pu_L04AB,0.861951375205,0.8436524999999999,0.6421332662989225,0.5564716710000001,-0.10883419999999996,1.9283519999999996
orig,intrvl,ibd,pu_L04AB,0.6807950166525,0.668636,0.4664061103315269,0.43388956170000004,-0.05623054499999999,1.4319024999999999
new,intrvl,ibd,pu_L04AB,-0.0468198932395475,-0.05502735,0.40194934695471546,0.24910697090999998,-0.7297918,0.6725868
orig,intrvl,ibd,pu_L04AB,-0.041228404382245,-0.049374299999999996,0.2761723224846817,0.20023906643999997,-0.48108825,0.43314819999999954
new,intrvl,ibd,pu_l04ac_il12-il23,-0.063041672074315,-0.0640902,0.09410017972053838,0.09269457605099998,-0.2186211,0.09220855
orig,intrvl,ibd,pu_l04ac_il12-il23,-0.05805991886245,-0.05849435,0.09388196701068607,0.091187520564,-0.2082057,0.10310749999999995
new,intrvl,ibd,pu_l04ac_il12-il23,0.1754795172867,0.1750825,0.44247201536848013,0.45239685749999997,-0.56661925,0.8840891999999995
orig,intrvl,ibd,pu_l04ac_il12-il23,0.1734524222185,0.1748905,0.4047691214962085,0.406462203,-0.4997481,0.8427906999999999
new,intrvl,inflammatory arthropathy,pu_l04ac_il6,-0.19201610549525,-0.19497199999999998,0.2640629607421996,0.2680007064,-0.62779535,0.2365487999999999
orig,intrvl,inflammatory arthropathy,pu_l04ac_il6,-0.182970919035375,-0.189393,0.2548305089831019,0.25444581351,-0.59744875,0.24433284999999988
new,intrvl,inflammatory arthropathy,pu_l04ac_il6,-0.97490906845225,-0.968892,1.1827186423095397,1.1700516114,-2.9257895,0.9651076999999981
orig,intrvl,inflammatory arthropathy,pu_l04ac_il6,-0.453130130320225,-0.4494175,0.8251236189410592,0.8312263617000001,-1.8188069999999998,0.8911523499999984
new,intrvl,inflammatory arthropathy,pu_l04ac_il6,-0.180972709515,-0.1801915,0.6131627753719918,0.6107422439999999,-1.195263,0.8127702999999998
orig,intrvl,inflammatory arthropathy,pu_l04ac_il6,-0.1635251299625,-0.164245,0.5386143696480733,0.5479823034,-1.03977,0.7091657499999997
new,intrvl,inflammatory arthropathy,pu_l04ac_il6,0.0926698652335,0.08223315,0.3297429316240047,0.32949873200999996,-0.44287375,0.6332383999999999
orig,intrvl,inflammatory arthropathy,pu_l04ac_il6,0.084182392491375,0.078678,0.3191505524969539,0.3272298351,-0.4357007,0.6153533499999999
new,intrvl,inflammatory arthropathy,pu_l04ac_il6,-0.0011521617049499995,0.001029762,0.32627298482965006,0.33325399175880005,-0.54186105,0.52890715
orig,intrvl,inflammatory arthropathy,pu_l04ac_il6,-0.017789375684925,-0.0181703,0.3215106699351189,0.31993514658,-0.54072515,0.5072754499999999
new,intrvl,Osteoporosis,pu_h05aa,-0.0586651393028175,-0.058091649999999995,0.05820964843416793,0.05922030723000001,-0.15320655,0.03524924999999993
orig,intrvl,Osteoporosis,pu_h05aa,-0.0599073628236,-0.0603449,0.05736670110172713,0.057186921329999994,-0.15301845,0.03491179999999995
new,intrvl,Osteoporosis,pu_h05aa,-0.056009292271225,-0.056413500000000005,0.05243896949059747,0.05260109126999999,-0.140396,0.03070865999999996
orig,intrvl,Osteoporosis,pu_h05aa,-0.0542102686780825,-0.0551624,0.05325585105715247,0.053463964469999986,-0.14221595,0.034751309999999966
new,intrvl,Osteoporosis,pu_h05aa,-0.062770525100875,-0.06283435000000001,0.16742521437264574,0.16762668488999996,-0.33329495,0.21359889999999987
orig,intrvl,Osteoporosis,pu_h05aa,-0.065606610518325,-0.0619849,0.15965176933845934,0.15500249414999998,-0.335162,0.20596989999999982
new,intrvl,Osteoporosis,pu_h05aa,0.02467076188205,0.02384905,0.06439722427914422,0.06445499718,-0.07943729499999999,0.13008314999999998
orig,intrvl,Osteoporosis,pu_h05aa,0.02294163516662,0.02287665,0.06461046544854328,0.0632010141,-0.082571205,0.12879499999999997
new,intrvl,Osteoporosis,pu_h05aa,0.02711129854955,0.0269795,0.04255247309324201,0.042020649804,-0.043225085,0.09681296499999997
orig,intrvl,Osteoporosis,pu_h05aa,0.026770083848575,0.0276142,0.042872198951727135,0.042185747692199994,-0.044505939999999994,0.09630704999999985
new,intrvl,Osteoporosis,pu_m05ba,0.00449917457015,0.004568050000000001,0.01667246393630312,0.016832372927999998,-0.023198655,0.03224313499999999
orig,intrvl,Osteoporosis,pu_m05ba,0.004062551117025,0.0038884849999999997,0.01627935094190313,0.016416674126999996,-0.021987439999999997,0.030940939999999983
new,intrvl,Osteoporosis,pu_m05ba,-0.0070694877683425,-0.006978065,0.013019848827257423,0.013413260112,-0.02834622,0.014467859999999989
orig,intrvl,Osteoporosis,pu_m05ba,-0.0066197039729552504,-0.00700109,0.012661638209577785,0.012819345377999999,-0.027089765,0.014027279999999994
new,intrvl,Osteoporosis,pu_m05ba,0.020677819834475,0.020574349999999998,0.013557792883092331,0.013582098599999998,-0.0011981274999999995,0.04314577499999999
orig,intrvl,Osteoporosis,pu_m05ba,0.02048037763734,0.02063945,0.013350675285180531,0.013198475849999997,-0.0014941819999999978,0.04268118
new,intrvl,Osteoporosis,pu_m05ba,-0.0110754430788075,-0.011019049999999999,0.014350023534443437,0.014514283350000002,-0.034304249999999994,0.012323759999999977
orig,intrvl,Osteoporosis,pu_m05ba,-0.01103319463645,-0.0109725,0.01445207814924644,0.014580681591000002,-0.034958974999999996,0.012447374999999991
new,intrvl,Osteoporosis,pu_m05ba,0.0134352608019175,0.01310975,0.012837714075092118,0.012940533102,-0.007390581,0.03440659499999999
orig,intrvl,Osteoporosis,pu_m05ba,0.0138629776818575,0.013809450000000001,0.013393289646134973,0.013578733098,-0.0077070145,0.036025135
new,intrvl,Parkinson Disease,pu_N04BC,-0.038744647013525,-0.03904344999999999,0.14659120169518366,0.14768556663000001,-0.2805164,0.20256629999999995
orig,intrvl,Parkinson Disease,pu_N04BC,-0.03445881067575,-0.03535,0.14729689191041762,0.14760773012999998,-0.27979055,0.20670479999999997
new,intrvl,Parkinson Disease,pu_N04BC,0.27123368214375,0.272409,0.27219372694297006,0.27487522608000003,-0.17249729999999996,0.7169965500000001
orig,intrvl,Parkinson Disease,pu_N04BC,0.26311242277,0.265264,0.2573936110220443,0.25041877539,-0.1548926,0.69764045
new,intrvl,Parkinson Disease,pu_N04BC,-0.0044310052560274996,-0.0014175799999999999,0.17159123397620193,0.173066003292,-0.28604959999999996,0.2824401499999999
orig,intrvl,Parkinson Disease,pu_N04BC,-0.0060613892644999995,-0.0108855,0.1658875866244253,0.16384160708999998,-0.27707685000000004,0.27373869999999995
new,intrvl,Parkinson Disease,pu_N04BC,0.062700383726025,0.06299165000000001,0.16823454600702115,0.16278443916000002,-0.21705405,0.3439276
orig,intrvl,Parkinson Disease,pu_N04BC,0.05832644191068725,0.05639865,0.16628420262619983,0.17237930745000002,-0.21075429999999998,0.32680855
new,intrvl,Parkinson Disease,pu_N04BC,-0.0244117306555,-0.02478835,0.14160473875902696,0.14281092608999998,-0.25986175,0.20542644999999998
orig,intrvl,Parkinson Disease,pu_N04BC,-0.0282944713860625,-0.0317156,0.14081111333683627,0.1430812782,-0.2571373,0.20721405
new,intrvl,Psoriasis,pu_l04ac_il12_il23,-0.001283151239925,-5.45961e-4,0.05772008673937736,0.056103066599999994,-0.0962826,0.09555860999999999
orig,intrvl,Psoriasis,pu_l04ac_il12_il23,-0.0018437119310825,-0.00248936,0.0583048252675076,0.05891837573999999,-0.0972352,0.09296566499999999
new,intrvl,Psoriasis,pu_l04ac_il12_il23,-0.050712586687125,-0.0511792,0.0698454025078127,0.06992676969600001,-0.16587129999999997,0.06204125499999998
orig,intrvl,Psoriasis,pu_l04ac_il12_il23,-0.0504946254073,-0.050180699999999995,0.06911913008555175,0.06715859241,-0.1644799,0.06336512999999996
new,intrvl,Psoriasis,pu_l04ac_il12_il23,0.3366396452765,0.3314765,0.4446954655772581,0.449242626,-0.3908371,1.07408
orig,intrvl,Psoriasis,pu_l04ac_il12_il23,0.28437517012971,0.2806595,0.4072371884449939,0.405365442237,-0.3895143,0.9582555
new,intrvl,Psoriasis,pu_l04ac_il12_il23,-0.05755340341405,-0.0575901,0.07074753963130916,0.07190392057799999,-0.17458895,0.05984844999999998
orig,intrvl,Psoriasis,pu_l04ac_il12_il23,-0.056813839936675,-0.055537050000000004,0.07126859361173657,0.07337009336999999,-0.1744188,0.05954144999999994
new,intrvl,Psoriasis,pu_l04ac_il17a,-0.0195536877029925,-0.0198823,0.029643392655370325,0.030246586351799998,-0.066949685,0.029436209999999997
orig,intrvl,Psoriasis,pu_l04ac_il17a,-0.0201497760656675,-0.020409049999999998,0.029195557328562605,0.028844650169999996,-0.068301815,0.028776209999999997
new,intrvl,Psoriasis,pu_l04ac_il17a,0.02671233063,0.0276279,0.24721943766107768,0.24608476494,-0.3882488,0.4263446499999997
orig,intrvl,Psoriasis,pu_l04ac_il17a,0.023090871212075,0.022320800000000002,0.23765838389305927,0.23384857061999997,-0.37131315000000004,0.41435644999999977
